stimulus,category,stim_type,Corr,thisN,thisTrialN,thisRepN,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,key_resp_1.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,IntroText.started,Positive_1_1.started,Negative_1_1.started,key_resp_intro.started,Intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.duration,trial_1.started,image_stim_1.started,Drug_1.started,Positive_1_2.started,Negative_1_2.started,key_resp_1.started,trial_1.stopped,trials.key_resp_1.keys,trials.key_resp_1.corr,trials.key_resp_1.rt,trials.key_resp_1.duration,feedback.started,msg_feedback_1.started,msg_feedback_1.stopped,feedback.stopped,Intro_2.started,Positive_2_1.started,Negative_2_1.started,key_resp_intro_2.started,IntroText_2.started,Intro_2.stopped,key_resp_intro_2.keys,key_resp_intro_2.rt,key_resp_intro_2.duration,main_loop_.started,main_loop_.stopped,trial_2.started,image_stim_2.started,Drug_2.started,Positive_2_2.started,Negative_2_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,feedback_2.started,msg_feedback_2.started,msg_feedback_2.stopped,feedback_2.stopped,Intro_3.started,IntroText_3.started,Positive_3_1.started,Negative_3_1.started,key_resp_intro_3.started,Intro_3.stopped,key_resp_intro_3.keys,key_resp_intro_3.rt,key_resp_intro_3.duration,trial_3.started,image_stim_3.started,Drug_3.started,Positive_3_2.started,Negative_3_2.started,key_resp_3.started,trial_3.stopped,trials_3.key_resp_3.keys,trials_3.key_resp_3.corr,trials_3.key_resp_3.rt,trials_3.key_resp_3.duration,feedback_3.started,msg_feedback.started,msg_feedback.stopped,feedback_3.stopped,Intro_4.started,Positive_4_1.started,Negative_4_1.started,key_resp_intro_4.started,IntroText_4.started,Intro_4.stopped,key_resp_intro_4.keys,key_resp_intro_4.rt,key_resp_intro_4.duration,main_loop_2.started,main_loop_2.stopped,trial_4.started,image_stim_4.started,Drug_4.started,Positive_4_2.started,Negative_4_2.started,key_resp_4.started,trial_4.stopped,trials_4.key_resp_4.keys,trials_4.key_resp_4.corr,trials_4.key_resp_4.rt,trials_4.key_resp_4.duration,feedback_4.started,msg_feedback_3.started,msg_feedback_3.stopped,feedback_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
즐겁다.jpg,긍정,image,z,9,9,0,z,1,0.49989170001936145,None,,,,,,,,,,,,,0,9,9,16,,,,,,,,,,,,,,,,,,,,,17.16053020002437,,,,,,,,,,,17.133854800020345,17.16053020002437,17.16053020002437,17.16053020002437,17.16053020002437,17.193449500016868,17.733139600022696,z,1,0.49989170001936145,None,17.755117599997902,17.89292579999892,18.109333600004902,18.03310150001198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
None,None,None,None,10,10,0,z,0,1.2608532999875024,None,,,,,,,,,,,,,0,10,10,59,,,,,,,,,,,,,,,,,,,,,18.109333600004902,,,,,,,,,,,18.093409299995983,18.109333600004902,18.109333600004902,18.109333600004902,18.109333600004902,18.14191960002063,19.433193600008963,z,0,1.2608532999875024,None,19.434581800014712,19.575609200022882,19.77560610001092,19.718407100008335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
None,None,None,None,11,11,0,z,0,0.5158896999782883,None,,,,,,,,,,,,,0,11,11,57,,,,,,,,,,,,,,,,,,,,,19.77560610001092,,,,,,,,,,,19.76006490000873,19.77560610001092,19.77560610001092,19.77560610001092,19.77560610001092,19.825095000007423,20.347340200009057,z,0,0.5158896999782883,None,20.348557600023923,20.493481200013775,20.727953299996443,20.646504600008484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
좌절하다.jpg,부정,image,slash,12,12,0,slash,1,0.47857579999254085,None,,,,,,,,,,,,,0,12,12,38,,,,,,,,,,,,,,,,,,,,,20.727953299996443,,,,,,,,,,,20.698308699997142,20.727953299996443,20.727953299996443,20.727953299996443,20.727953299996443,20.763103700010106,21.250562700006412,slash,1,0.47857579999254085,None,21.251357600005576,21.37489610002376,21.59418430001824,21.53311499999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
신나다.jpg,긍정,image,z,13,13,0,slash,0,0.6596002000151202,None,,,,,,,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,21.59418430001824,,,,,,,,,,,21.57530759999645,21.64272720000008,21.59418430001824,21.59418430001824,21.59418430001824,21.676435900008073,22.347776700014947,slash,0,0.6596002000151202,None,22.3483899999992,22.492746800009627,22.709314300009282,22.66569029999664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
경멸하다.jpg,부정,image,slash,14,14,0,z,0,0.455896399973426,None,,,,,,,,,,,,,0,14,14,23,,,,,,,,,,,,,,,,,,,,,22.709314300009282,,,,,,,,,,,22.690820300020278,22.726211300003342,22.709314300009282,22.709314300009282,22.709314300009282,22.776011200010544,23.23650389999966,z,0,0.455896399973426,None,23.2376153000223,23.358119700016687,23.661458200018387,23.498367100022733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
죄스럽다.jpg,부정,image,slash,15,15,0,z,0,1.3832312999875285,None,,,,,,,,,,,,,0,15,15,39,,,,,,,,,,,,,,,,,,,,,23.661458200018387,,,,,,,,,,,23.626979300024686,23.661458200018387,23.661458200018387,23.661458200018387,23.661458200018387,23.661458200018387,25.084875800006557,z,0,1.3832312999875285,None,25.086719700018875,25.22767439999734,25.474958900013007,25.387931800010847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
뿌듯하다.jpg,긍정,image,z,16,16,0,z,1,0.9040633999975398,None,,,,,,,,,,,,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,25.474958900013007,,,,,,,,,,,25.463104100024793,25.474958900013007,25.474958900013007,25.474958900013007,25.474958900013007,25.49531830000342,26.40230529999826,z,1,0.9040633999975398,None,26.40332730000955,26.559930400020676,26.759563600004185,26.6983008000243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
질색하다.jpg,부정,image,slash,17,17,0,slash,1,0.5019359999860171,None,,,,,,,,,,,,,0,17,17,41,,,,,,,,,,,,,,,,,,,,,26.759563600004185,,,,,,,,,,,26.743019300018204,26.810295900009805,26.759563600004185,26.759563600004185,26.759563600004185,26.843683600018267,27.368930399999954,slash,1,0.5019359999860171,None,27.375307800015435,27.4949031000142,27.691623999999138,27.650962400017306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
억울하다.jpg,부정,image,slash,18,18,0,z,0,0.6510725000116508,None,,,,,,,,,,,,,0,18,18,37,,,,,,,,,,,,,,,,,,,,,27.691623999999138,,,,,,,,,,,27.684564499999397,27.709648000018205,27.691623999999138,27.691623999999138,27.691623999999138,27.777371400006814,28.434630200004904,z,0,0.6510725000116508,None,28.43953220002004,28.558137300016824,28.760200700024143,28.69832039999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
None,None,None,None,19,19,0,slash,0,0.5310010999965016,None,,,,,,,,,,,,,0,19,19,50,,,,,,,,,,,,,,,,,,,,,28.760200700024143,,,,,,,,,,,28.744427099998575,28.81066909999936,28.760200700024143,28.760200700024143,28.760200700024143,28.84372230002191,29.382792100019287,slash,0,0.5310010999965016,None,29.38348770001903,29.525354600016726,29.72535200000857,29.668373100023018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
None,None,None,None,20,20,0,z,0,0.5171627000090666,None,,,,,,,,,,,,,0,20,20,62,,,,,,,,,,,,,,,,,,,,,29.72535200000857,,,,,,,,,,,29.707075800019084,29.74244760000147,29.72535200000857,29.72535200000857,29.72535200000857,29.791720600012923,30.352252000011504,z,0,0.5171627000090666,None,30.35400760002085,30.496022700011963,30.709351700003026,30.65561450002133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
분노하다.jpg,부정,image,slash,21,21,0,z,0,0.6261701000039466,None,,,,,,,,,,,,,0,21,21,26,,,,,,,,,,,,,,,,,,,,,30.709351700003026,,,,,,,,,,,30.697226000018418,30.709351700003026,30.709351700003026,30.709351700003026,30.709351700003026,30.759347900020657,31.401684300013585,z,0,0.6261701000039466,None,31.403026000014506,31.528461700014304,31.724878900015028,31.683974000014132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
평온하다.jpg,긍정,image,z,22,22,0,slash,0,0.4996036000084132,None,,,,,,,,,,,,,0,22,22,4,,,,,,,,,,,,,,,,,,,,,31.724878900015028,,,,,,,,,,,31.709521400014637,31.742159400018863,31.724878900015028,31.724878900015028,31.724878900015028,31.792790900013642,32.33150170001318,slash,0,0.4996036000084132,None,32.333997900015675,32.46217140002409,32.728075699997135,32.645322700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
실망하다.jpg,부정,image,slash,23,23,0,z,0,0.6857561999931931,None,,,,,,,,,,,,,0,23,23,36,,,,,,,,,,,,,,,,,,,,,32.728075699997135,,,,,,,,,,,32.70510750001995,32.728075699997135,32.728075699997135,32.728075699997135,32.728075699997135,32.778459699999075,33.478526100021554,z,0,0.6857561999931931,None,33.479548500006786,33.627576099999715,33.829035600007046,33.79333139999653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.79400690001785,33.829035600007046,33.829035600007046,33.829035600007046,33.829035600007046,35.12255830000504,space,1.2592900000163354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
상쾌하다.jpg ,긍정,image,z,0,0,0,,,,,slash,0,0.8465047999925446,None,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,35.310099599999376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.23500840002089,35.23594750001212,35.277227500017034,35.310099599999376,35.310099599999376,35.310099599999376,35.310099599999376,35.3598552000185,36.236095100000966,slash,0,0.8465047999925446,None,36.38965490000555,36.40775700000813,36.59204360001604,36.55103709999821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
평온하다.jpg,긍정,image,z,1,1,0,,,,,slash,0,0.4844837999844458,None,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,36.59204360001604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57403780001914,36.610338900005445,36.59204360001604,36.59204360001604,36.59204360001604,36.675704599998426,37.19094670002232,slash,0,0.4844837999844458,None,37.19376490000286,37.3119735000073,37.545011000009254,37.46846280002501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
불행하다.jpg,부정,image,slash,2,2,0,,,,,slash,1,0.42503539999597706,None,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,37.545011000009254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.519993200025056,37.545011000009254,37.545011000009254,37.545011000009254,37.545011000009254,37.59268850000808,38.03405990000465,slash,1,0.42503539999597706,None,38.034941500023706,38.196722599997884,38.37488810002105,38.34859200002393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
죄스럽다.jpg,부정,image,slash,3,3,0,,,,,z,0,0.4872396999853663,None,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,38.37488810002105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.36383750001551,38.44500970002264,38.37488810002105,38.37488810002105,38.37488810002105,38.479657200019574,38.999593200016534,z,0,0.4872396999853663,None,39.002105200022925,39.127618300000904,39.358863900008146,39.299511600023834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
평화롭다.jpg,긍정,image,z,4,4,0,,,,,slash,0,0.4962078999960795,None,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,39.358863900008146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.341636299999664,39.39227720000781,39.358863900008146,39.358863900008146,39.358863900008146,39.409943100006785,39.93373970000539,slash,0,0.4962078999960795,None,39.93507760000648,40.077988200006075,40.258482900011586,40.234124700014945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
거북하다.jpg,부정,image,slash,5,5,0,,,,,slash,1,0.40775830001803115,None,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,40.258482900011586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.24871510002413,40.34466850000899,40.258482900011586,40.258482900011586,40.258482900011586,40.393328600010136,40.83620390002034,slash,1,0.40775830001803115,None,40.83843140001409,40.977145400014706,41.17553120001685,41.143696100014495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286422,001,2025-07-08_19h07.18.796,SC-IAT,2024.2.4,59.897670820961345,2025-07-08 19h07.42.759535 +0900,
